,address,type,datetime,latitude,longitude,report_location,incident_number
7204,2014 31st Ave S,Aid Response,2026-01-18T12:48:00.000,47.585055,-122.292998,"{'type': 'Point', 'coordinates': [-122.292998, 47.585055]}",F260008416
7205,3515 S Alaska St,Aid Response,2026-01-18T12:45:00.000,47.560753,-122.288649,"{'type': 'Point', 'coordinates': [-122.288649, 47.560753]}",F260008414
7206,4700 12th Ave Ne,Aid Response Yellow,2026-01-18T12:43:00.000,47.663106,-122.315263,"{'type': 'Point', 'coordinates': [-122.315263, 47.663106]}",F260008412
7207,3801 Stone Way N,Auto Fire Alarm,2026-01-18T12:35:00.000,47.652707,-122.342575,"{'type': 'Point', 'coordinates': [-122.342575, 47.652707]}",F260008410
7208,3rd Ave / Spring St,Aid Response,2026-01-18T12:34:00.000,47.606337,-122.334672,"{'type': 'Point', 'coordinates': [-122.334672, 47.606337]}",F260008409
7209,4413 S Frontenac St,Medic Response,2026-01-18T12:34:00.000,47.539784,-122.277713,"{'type': 'Point', 'coordinates': [-122.277713, 47.539784]}",F260008408
7210,1137 N 83rd St,Activated CO Detector,2026-01-18T12:25:00.000,47.689109,-122.343869,"{'type': 'Point', 'coordinates': [-122.343869, 47.689109]}",F260008406
7211,2119 3rd Ave,Aid Response,2026-01-18T12:25:00.000,47.613308,-122.342432,"{'type': 'Point', 'coordinates': [-122.342432, 47.613308]}",F260008405
7212,1st Ave S / S Massachusetts St,Rubbish Fire,2026-01-18T12:22:00.000,47.588229,-122.334197,"{'type': 'Point', 'coordinates': [-122.334197, 47.588229]}",F260008403
7213,9820 Aurora Ave N,Aid Response,2026-01-18T12:21:00.000,47.700612,-122.344641,"{'type': 'Point', 'coordinates': [-122.344641, 47.700612]}",F260008401
7214,1301 2nd Ave,Aid Response,2026-01-18T12:18:00.000,47.607299,-122.337087,"{'type': 'Point', 'coordinates': [-122.337087, 47.607299]}",F260008399
